
=== BACKTEST RESULTS ===
Period:          2025-02-09 to 2026-02-07 (362 days)
Initial Equity:  $10000.00
Final Equity:    $2128988.11
Net PnL:         $2118988.11 (21189.88%)
Gross PnL:       $3583738.79

Total Trades:    3864
Winning Trades:  1820
Losing Trades:   2044
Win Rate:        47.10%
Profit Factor:   1.23
Avg PnL/Trade:   $548.39

Max Drawdown:    53.65%
Sharpe Ratio:    3.61
========================

=== SYMBOL STATISTICS ===
Symbol     Trades   Win Rate PnL        Avg PnL      Profit Factor
----------------------------------------------
BNB/USDT   981      45.7    % $195151.54   $198.93      1.24
BTC/USDT   451      47.2    % $32703.82    $72.51       1.28
ETH/USDT   1255     46.9    % $711112.07   $566.62      1.15
SOL/USDT   1177     48.4    % $1180020.68  $1002.57     1.32

=== MONTHLY RETURNS ===
Month        PnL          Trades    
-------------------------------
2025-02      $11630.45    305       
2025-03      $37112.14    472       
2025-04      $84132.11    386       
2025-05      $102841.04   264       
2025-06      $62522.33    178       
2025-07      $193197.93   245       
2025-08      $208867.48   298       
2025-09      $156209.61   193       
2025-10      $798031.83   527       
2025-11      $1526375.40  416       
2025-12      $-288108.86  155       
2026-01      $-534676.19  126       
2026-02      $-239147.14  299       
-------------------------------
Total        $2118988.11 

=== DRAWDOWN PERIODS ===
Period               Drawdown             Recovery       
--------------------------------------
2025-02-11           2.19           % 2025-02-12     
2025-02-13           2.20           % 2025-02-14     
2025-02-14           3.30           % 2025-02-21     
2025-02-21           12.42          % 2025-02-27     
2025-02-27           1.17           % 2025-02-27     
2025-02-28           2.32           % 2025-02-28     
2025-02-28           1.17           % 2025-02-28     
2025-02-28           1.17           % 2025-02-28     
2025-02-28           1.17           % 2025-02-28     
2025-02-28           1.18           % 2025-03-01     
2025-03-01           2.34           % 2025-03-02     
2025-03-02           1.18           % 2025-03-02     
2025-03-03           8.35           % 2025-03-04     
2025-03-04           3.57           % 2025-03-05     
2025-03-07           2.39           % 2025-03-07     
2025-03-07           3.93           % 2025-03-08     
2025-03-09           8.96           % 2025-03-11     
2025-03-12           1.25           % 2025-03-12     
2025-03-12           1.25           % 2025-03-12     
2025-03-12           1.25           % 2025-03-12     
2025-03-12           4.08           % 2025-03-14     
2025-03-20           5.63           % 2025-03-30     
2025-03-31           1.26           % 2025-03-31     
2025-03-31           1.26           % 2025-04-01     
2025-04-01           1.26           % 2025-04-01     
2025-04-02           2.88           % 2025-04-04     
2025-04-04           1.26           % 2025-04-04     
2025-04-06           7.39           % 2025-04-07     
2025-04-07           2.55           % 2025-04-07     
2025-04-08           1.29           % 2025-04-08     
2025-04-08           5.44           % 2025-04-09     
2025-04-09           1.28           % 2025-04-09     
2025-04-09           1.28           % 2025-04-09     
2025-04-09           5.04           % 2025-04-10     
2025-04-11           1.28           % 2025-04-11     
2025-04-12           1.28           % 2025-04-12     
2025-04-13           3.79           % 2025-04-13     
2025-04-13           2.55           % 2025-04-14     
2025-04-14           7.46           % 2025-04-17     
2025-04-17           1.29           % 2025-04-19     
2025-04-20           1.29           % 2025-04-21     
2025-04-21           3.83           % 2025-04-22     
2025-04-22           1.29           % 2025-04-22     
2025-04-23           1.28           % 2025-04-23     
2025-04-24           1.28           % 2025-04-24     
2025-04-26           6.24           % 2025-05-01     
2025-05-01           1.29           % 2025-05-02     
2025-05-02           1.29           % 2025-05-05     
2025-05-06           1.29           % 2025-05-06     
2025-05-09           1.25           % 2025-05-09     
2025-05-09           1.24           % 2025-05-09     
2025-05-10           1.24           % 2025-05-10     
2025-05-11           1.24           % 2025-05-11     
2025-05-11           3.68           % 2025-05-12     
2025-05-12           6.09           % 2025-05-13     
2025-05-13           1.25           % 2025-05-14     
2025-05-14           1.25           % 2025-05-15     
2025-05-15           1.25           % 2025-05-15     
2025-05-15           1.25           % 2025-05-15     
2025-05-15           2.49           % 2025-05-16     
2025-05-16           4.09           % 2025-05-18     
2025-05-19           2.51           % 2025-05-19     
2025-05-19           1.26           % 2025-05-19     
2025-05-20           3.74           % 2025-05-21     
2025-05-21           2.89           % 2025-05-22     
2025-05-23           6.58           % 2025-05-27     
2025-05-27           14.08          % 2025-06-23     
2025-06-24           2.72           % 2025-06-26     
2025-06-26           2.71           % 2025-06-29     
2025-06-30           2.70           % 2025-07-02     
2025-07-04           1.35           % 2025-07-05     
2025-07-07           1.34           % 2025-07-08     
2025-07-09           1.33           % 2025-07-10     
2025-07-11           1.33           % 2025-07-11     
2025-07-11           1.33           % 2025-07-11     
2025-07-11           1.33           % 2025-07-13     
2025-07-14           3.93           % 2025-07-15     
2025-07-16           5.15           % 2025-07-18     
2025-07-18           3.90           % 2025-07-19     
2025-07-20           1.31           % 2025-07-21     
2025-07-21           6.79           % 2025-07-24     
2025-07-24           4.32           % 2025-07-25     
2025-07-25           1.33           % 2025-07-25     
2025-07-26           1.33           % 2025-07-28     
2025-07-28           3.05           % 2025-07-30     
2025-07-31           9.48           % 2025-08-07     
2025-08-08           1.36           % 2025-08-09     
2025-08-10           1.35           % 2025-08-10     
2025-08-11           1.35           % 2025-08-11     
2025-08-11           2.67           % 2025-08-12     
2025-08-13           3.05           % 2025-08-14     
2025-08-14           3.97           % 2025-08-15     
2025-08-15           8.25           % 2025-08-22     
2025-08-22           1.35           % 2025-08-22     
2025-08-23           2.69           % 2025-08-24     
2025-08-24           12.09          % 2025-09-05     
2025-09-05           4.98           % 2025-09-12     
2025-09-13           4.18           % 2025-09-18     
2025-09-19           7.22           % 2025-09-29     
2025-10-04           1.40           % 2025-10-05     
2025-10-07           8.04           % 2025-10-10     
2025-10-10           3.22           % 2025-10-11     
2025-10-11           2.82           % 2025-10-12     
2025-10-12           1.39           % 2025-10-13     
2025-10-13           1.38           % 2025-10-13     
2025-10-13           1.38           % 2025-10-13     
2025-10-14           6.77           % 2025-10-16     
2025-10-16           7.29           % 2025-10-19     
2025-10-20           2.81           % 2025-10-21     
2025-10-21           6.89           % 2025-10-23     
2025-10-23           1.41           % 2025-10-24     
2025-10-27           13.96          % 2025-11-07     
2025-11-08           1.45           % 2025-11-09     
2025-11-10           6.07           % 2025-11-13     
2025-11-13           7.52           % 2025-11-14     
2025-11-14           2.93           % 2025-11-16     
2025-11-16           2.92           % 2025-11-16     
2025-11-17           1.45           % 2025-11-17     
2025-11-17           6.14           % 2025-11-18     
2025-11-18           7.47           % 2025-11-21     
2025-11-22           2.96           % 2025-11-24     
2025-11-24           1.49           % 2025-11-24     
2025-11-25           1.48           % 2025-11-25     
2025-11-26           1.46           % 2025-11-26     
2025-11-27           53.65          % 2025-11-04     
2025-11-04           0.67           % 2025-11-04     
2025-11-04           0.67           % 2025-11-04     
2025-11-04           0.68           % 2025-11-04     
2025-11-05           1.38           % 2025-11-05     
2025-11-06           0.72           % 2025-11-07     
2025-11-07           1.44           % 2025-11-07     
2025-11-11           2.48           % 2025-11-14     
2025-11-14           2.30           % 2025-11-14     
2025-11-14           0.78           % 2025-11-14     
2025-11-14           1.57           % 2025-11-15     
2025-11-16           2.36           % 2025-11-17     
2025-11-17           3.15           % 2025-11-18     
2025-11-20           1.69           % 2025-11-20     
2025-11-21           1.70           % 2025-11-21     
2025-11-21           2.56           % 2025-11-21     
2025-11-21           0.87           % 2025-11-21     
2025-11-21           0.88           % 2025-11-21     
2025-11-21           0.89           % 2025-11-21     
2025-11-22           0.89           % 2025-11-22     
2025-11-23           1.77           % 2025-11-24     
2025-11-26           0.91           % 2025-11-26     
2025-11-27           33.12          % (ongoing)

=== TRADE LOG (3864 trades) ===
Symbol     Side   Entry        Entry Price Exit Price   Size       PnL          Exit Reason
-----------------------------------------------------------------------
ETH/USDT   LONG   2025-02-10   $2572.59   $2624.04     3.8871     $189.85      take_profit
ETH/USDT   LONG   2025-02-10   $2650.28   $2703.29     3.8486     $193.65      take_profit
ETH/USDT   LONG   2025-02-11   $2634.47   $2608.13     3.9492     $-114.37     stop_loss
ETH/USDT   LONG   2025-02-11   $2587.63   $2561.75     3.9805     $-113.22     stop_loss
ETH/USDT   LONG   2025-02-11   $2591.42   $2643.25     3.9349     $193.59      take_profit
ETH/USDT   LONG   2025-02-12   $2569.97   $2621.37     4.0471     $197.46      take_profit
ETH/USDT   LONG   2025-02-12   $2708.42   $2762.59     3.9170     $201.41      take_profit
ETH/USDT   LONG   2025-02-12   $2730.16   $2784.76     3.9635     $205.44      take_profit
ETH/USDT   LONG   2025-02-12   $2745.60   $2718.14     4.0201     $-121.33     stop_loss
ETH/USDT   LONG   2025-02-13   $2707.65   $2680.57     4.0357     $-120.12     stop_loss
ETH/USDT   LONG   2025-02-13   $2624.89   $2677.39     4.1213     $205.38      take_profit
ETH/USDT   LONG   2025-02-14   $2676.09   $2729.61     4.1233     $209.48      take_profit
ETH/USDT   LONG   2025-02-14   $2690.83   $2744.65     4.1827     $213.67      take_profit
ETH/USDT   LONG   2025-02-14   $2738.90   $2711.51     4.1915     $-126.19     stop_loss
ETH/USDT   LONG   2025-02-14   $2710.99   $2683.88     4.1923     $-124.93     stop_loss
ETH/USDT   LONG   2025-02-16   $2707.31   $2680.24     4.1560     $-123.68     stop_loss
ETH/USDT   LONG   2025-02-17   $2702.92   $2756.98     4.1211     $211.47      take_profit
ETH/USDT   LONG   2025-02-18   $2693.12   $2666.19     4.2188     $-124.89     stop_loss
ETH/USDT   LONG   2025-02-18   $2656.66   $2709.79     4.2340     $213.55      take_profit
ETH/USDT   LONG   2025-02-18   $2681.81   $2654.99     4.2781     $-126.12     stop_loss

ETH/USDT   LONG   2025-02-18   $2638.30   $2611.92     4.3052     $-124.86     stop_loss
ETH/USDT   LONG   2025-02-18   $2611.36   $2663.59     4.3061     $213.48      take_profit
ETH/USDT   LONG   2025-02-20   $2745.91   $2718.45     4.1770     $-126.08     stop_loss
ETH/USDT   LONG   2025-02-20   $2711.23   $2765.45     4.1882     $215.58      take_profit
ETH/USDT   LONG   2025-02-21   $2772.64   $2828.09     4.1773     $219.89      take_profit
ETH/USDT   LONG   2025-02-21   $2832.32   $2804.00     4.1711     $-129.86     stop_loss
ETH/USDT   LONG   2025-02-21   $2781.40   $2753.59     4.2050     $-128.56     stop_loss
ETH/USDT   LONG   2025-02-21   $2655.24   $2628.69     4.3607     $-127.28     stop_loss
ETH/USDT   LONG   2025-02-21   $2630.80   $2683.42     4.3572     $217.62      take_profit
ETH/USDT   LONG   2025-02-22   $2775.68   $2747.92     4.2124     $-128.53     stop_loss
ETH/USDT   LONG   2025-02-24   $2784.99   $2757.14     4.1563     $-127.24     stop_loss
ETH/USDT   LONG   2025-02-24   $2730.37   $2703.07     4.1971     $-125.97     stop_loss
ETH/USDT   LONG   2025-02-24   $2684.86   $2658.01     4.2255     $-124.71     stop_loss
ETH/USDT   LONG   2025-02-24   $2631.47   $2605.16     4.2681     $-123.46     stop_loss
ETH/USDT   LONG   2025-02-24   $2566.35   $2540.69     4.3327     $-122.23     stop_loss
ETH/USDT   LONG   2025-02-24   $2508.20   $2483.12     4.3888     $-121.00     stop_loss
ETH/USDT   LONG   2025-02-24   $2530.32   $2505.02     4.3069     $-119.79     stop_loss
ETH/USDT   LONG   2025-02-24   $2520.93   $2495.72     4.2797     $-118.60     stop_loss
ETH/USDT   LONG   2025-02-25   $2468.17   $2517.53     4.3275     $202.78      take_profit
ETH/USDT   LONG   2025-02-25   $2489.40   $2464.51     4.3764     $-119.76     stop_loss

ETH/USDT   LONG   2025-02-25   $2425.30   $2401.05     4.4472     $-118.56     stop_loss
ETH/USDT   LONG   2025-02-25   $2366.16   $2342.50     4.5127     $-117.38     stop_loss
ETH/USDT   LONG   2025-02-25   $2339.52   $2386.31     4.5185     $200.69      take_profit
ETH/USDT   LONG   2025-02-25   $2368.11   $2415.47     4.5532     $204.71      take_profit
ETH/USDT   LONG   2025-02-25   $2383.68   $2359.84     4.6139     $-120.90     stop_loss
ETH/USDT   LONG   2025-02-25   $2368.49   $2415.86     4.5971     $206.71      take_profit
ETH/USDT   LONG   2025-02-25   $2425.25   $2401.00     4.5793     $-122.08     stop_loss
ETH/USDT   LONG   2025-02-25   $2371.21   $2418.63     4.6368     $208.74      take_profit
ETH/USDT   LONG   2025-02-25   $2402.51   $2450.56     4.6679     $212.91      take_profit
ETH/USDT   LONG   2025-02-25   $2444.19   $2493.07     4.6801     $217.17      take_profit
ETH/USDT   LONG   2025-02-25   $2501.24   $2476.23     4.6648     $-128.26     stop_loss
ETH/USDT   LONG   2025-02-26   $2428.21   $2403.93     4.7571     $-126.98     stop_loss
ETH/USDT   LONG   2025-02-26   $2387.37   $2435.12     4.7900     $217.11      take_profit
ETH/USDT   LONG   2025-02-26   $2439.00   $2414.61     4.7824     $-128.22     stop_loss
ETH/USDT   LONG   2025-02-26   $2377.80   $2354.02     4.8565     $-126.94     stop_loss
ETH/USDT   LONG   2025-02-26   $2309.14   $2286.05     4.9509     $-125.67     stop_loss
ETH/USDT   LONG   2025-02-26   $2275.00   $2320.50     4.9749     $214.87      take_profit
ETH/USDT   LONG   2025-02-26   $2289.37   $2266.48     5.0425     $-126.90     stop_loss
ETH/USDT   LONG   2025-02-26   $2261.30   $2306.53     5.0541     $216.98      take_profit
ETH/USDT   LONG   2025-02-26   $2306.49   $2352.62     5.0542     $221.32      take_profit

ETH/USDT   LONG   2025-02-26   $2311.01   $2357.23     5.1452     $225.74      take_profit
ETH/USDT   LONG   2025-02-26   $2348.89   $2325.40     5.1634     $-133.32     stop_loss
ETH/USDT   LONG   2025-02-27   $2323.79   $2370.27     5.1670     $227.95      take_profit
ETH/USDT   LONG   2025-02-27   $2322.10   $2368.54     5.2742     $232.51      take_profit
ETH/USDT   LONG   2025-02-27   $2295.89   $2272.93     5.4411     $-137.32     stop_loss
ETH/USDT   LONG   2025-02-27   $2239.53   $2284.32     5.5222     $234.79      take_profit
ETH/USDT   LONG   2025-02-28   $2200.18   $2178.18     5.7334     $-138.67     stop_loss
ETH/USDT   LONG   2025-02-28   $2208.47   $2186.39     5.6548     $-137.28     stop_loss
ETH/USDT   LONG   2025-02-28   $2140.81   $2183.63     5.7752     $234.72      take_profit
ETH/USDT   LONG   2025-02-28   $2104.11   $2146.19     5.9934     $239.42      take_profit
ETH/USDT   LONG   2025-02-28   $2108.32   $2087.24     6.1011     $-141.40     stop_loss
ETH/USDT   LONG   2025-02-28   $2094.46   $2136.35     6.0800     $241.76      take_profit
ETH/USDT   LONG   2025-02-28   $2128.50   $2107.22     6.1025     $-142.78     stop_loss
ETH/USDT   LONG   2025-02-28   $2113.30   $2155.57     6.0849     $244.13      take_profit
ETH/USDT   LONG   2025-02-28   $2150.01   $2193.01     6.1006     $249.01      take_profit
ETH/USDT   LONG   2025-02-28   $2198.00   $2241.96     6.0868     $253.99      take_profit
ETH/USDT   LONG   2025-02-28   $2225.70   $2203.44     6.1312     $-150.01     stop_loss
ETH/USDT   LONG   2025-02-28   $2193.60   $2237.47     6.1587     $256.48      take_profit
ETH/USDT   LONG   2025-02-28   $2227.63   $2205.35     6.1859     $-151.48     stop_loss
ETH/USDT   LONG   2025-02-28   $2207.42   $2251.57     6.1802     $259.00      take_profit

ETH/USDT   LONG   2025-03-01   $2243.35   $2220.92     6.2028     $-152.96     stop_loss
ETH/USDT   LONG   2025-03-01   $2180.88   $2159.07     6.3167     $-151.43     stop_loss
ETH/USDT   LONG   2025-03-01   $2146.50   $2189.43     6.3537     $258.92      take_profit
ETH/USDT   LONG   2025-03-01   $2194.10   $2237.98     6.3401     $264.10      take_profit
ETH/USDT   LONG   2025-03-02   $2180.69   $2224.30     6.5067     $269.38      take_profit
ETH/USDT   LONG   2025-03-02   $2239.16   $2283.94     6.4635     $274.77      take_profit
ETH/USDT   LONG   2025-03-02   $2229.83   $2274.43     6.6204     $280.26      take_profit
ETH/USDT   LONG   2025-03-02   $2300.20   $2346.20     6.5462     $285.87      take_profit
ETH/USDT   LONG   2025-03-02   $2436.96   $2412.59     6.3024     $-168.83     stop_loss
ETH/USDT   LONG   2025-03-02   $2410.05   $2458.25     6.3091     $288.67      take_profit
ETH/USDT   LONG   2025-03-02   $2463.35   $2512.62     6.2960     $294.44      take_profit
ETH/USDT   LONG   2025-03-02   $2491.51   $2541.34     6.3493     $300.33      take_profit
ETH/USDT   LONG   2025-03-03   $2480.04   $2455.24     6.5063     $-177.37     stop_loss
ETH/USDT   LONG   2025-03-03   $2420.70   $2396.49     6.5991     $-175.60     stop_loss
ETH/USDT   LONG   2025-03-03   $2367.50   $2343.82     6.6799     $-173.84     stop_loss
ETH/USDT   LONG   2025-03-03   $2342.90   $2319.47     6.6826     $-172.11     stop_loss
